scenario,fold,model,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,0,trend,-0.02018400233570128,0.021292619376455768,0.02636637290102506,0.07600478837973888,-1.5939797292493414,-0.04770189681477932,2.0999999999999996,0.0052499999999999995,0.09625,3.0,1.0,
naive,0,trend,-0.02275770283892098,0.018760457051895996,0.02636637290102506,0.07640446947785147,-1.7946442523619437,-0.04978639922180195,2.0999999999999996,0.007875,0.09625,3.0,1.5,
naive,0,trend,-0.025325767220158668,0.016231437685817696,0.02636637290102506,0.07689146789066272,-1.9909568148819254,-0.051867249786676894,2.0999999999999996,0.010499999999999999,0.09625,3.0,2.0,
naive,0,prior,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,0,prior,0.0,0.018760457051895996,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.65
naive,0,prior,0.0,0.016231437685817696,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.65
naive,0,ridge_logistic,-0.0451321520461897,0.021292619376455768,0.02636637290102506,0.16426169880538075,-1.6280934822707853,-0.08177976504657192,38.20791069922588,0.09551977674806467,0.22730412511587467,55.0,1.0,0.55
naive,0,ridge_logistic,-0.08971907266217316,0.018760457051895996,0.02636637290102506,0.16612015729477445,-3.358850191573645,-0.1161830807267964,38.20791069922588,0.143279665122097,0.22730412511587467,55.0,1.5,0.55
naive,0,ridge_logistic,-0.13224202657657635,0.016231437685817696,0.02636637290102506,0.1684764135513374,-5.036384768703974,-0.1496270066724319,38.20791069922588,0.19103955349612933,0.22730412511587467,55.0,2.0,0.55
naive,0,lightgbm,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,0,lightgbm,0.0,0.018760457051895996,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.65
naive,0,lightgbm,0.0,0.016231437685817696,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.65
naive,0,catboost,-0.08801750470979319,0.021292619376455768,0.02636637290102506,0.07231448503303806,-7.713406916655413,-0.08801750470979319,28.359411108266688,0.07089852777066671,0.0471180162942544,41.0,1.0,0.55
naive,0,catboost,-0.11981740186388334,0.018760457051895996,0.02636637290102506,0.07487994356732494,-10.329077464763088,-0.11981740186388334,28.359411108266688,0.10634779165600007,0.0471180162942544,41.0,1.5,0.55
naive,0,catboost,-0.15052153861399187,0.016231437685817696,0.02636637290102506,0.07828677777182162,-12.634195127849251,-0.15052153861399187,28.359411108266688,0.14179705554133343,0.0471180162942544,41.0,2.0,0.55
naive,1,trend,0.030615570217227717,0.19897440625922647,0.20501766784452347,0.0849959382948778,2.2008779686105413,-0.022236932562325507,2.0999999999999996,0.0052499999999999995,0.1701388888888889,3.0,1.0,
naive,1,trend,0.027917417236393183,0.19595847184667115,0.20501766784452347,0.08475426397245818,2.018741358784939,-0.022665078532052685,2.0999999999999996,0.007875,0.1701388888888889,3.0,1.5,
naive,1,trend,0.025225153292179447,0.19294633502084446,0.20501766784452347,0.08459314851124414,1.8338150399255793,-0.02309322450178042,2.0999999999999996,0.010499999999999999,0.1701388888888889,3.0,2.0,
naive,1,prior,0.0,0.19897440625922647,0.20501766784452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
naive,1,prior,0.0,0.19595847184667115,0.20501766784452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.65
naive,1,prior,0.0,0.19294633502084446,0.20501766784452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.65
naive,1,ridge_logistic,-0.014128775072836275,0.19897440625922647,0.20501766784452347,0.04004145252405826,-2.141768238330418,-0.022276451239660267,9.099999999999998,0.02275,0.015555555555555555,13.0,1.0,0.55
naive,1,ridge_logistic,-0.025284345479337778,0.19595847184667115,0.20501766784452347,0.0406820120851006,-3.8089912459384405,-0.028859669999604765,9.099999999999998,0.034125,0.015555555555555555,13.0,1.5,0.55
naive,1,ridge_logistic,-0.036318487797321275,0.19294633502084446,0.20501766784452347,0.04198701641616133,-5.338682376099875,-0.036318487797321275,9.099999999999998,0.0455,0.015555555555555555,13.0,2.0,0.55
naive,1,lightgbm,-0.044297322326230404,0.19897440625922647,0.20501766784452347,0.036385173299559745,-7.556552123880019,-0.04495551376520868,16.799999999999997,0.041999999999999996,0.03013888888888888,24.0,1.0,0.55
naive,1,lightgbm,-0.06418136324230894,0.19595847184667115,0.20501766784452347,0.039866856869824906,-10.101033544967784,-0.0644168248205037,16.799999999999997,0.063,0.03013888888888888,24.0,1.5,0.55
naive,1,lightgbm,-0.08366014605634486,0.19294633502084446,0.20501766784452347,0.044178374807733116,-12.006925580288202,-0.08366014605634486,16.799999999999997,0.08399999999999999,0.03013888888888888,24.0,2.0,0.55
naive,1,catboost,-0.025113775323350684,0.19897440625922647,0.20501766784452347,0.027647299012166764,-5.582428722088802,-0.025113775323350684,10.499999999999998,0.026249999999999996,0.02333333333333333,15.0,1.0,0.55
naive,1,catboost,-0.03783885857787728,0.19595847184667115,0.20501766784452347,0.030297849679412212,-7.729354676045785,-0.03783885857787728,10.499999999999998,0.039375,0.02333333333333333,15.0,1.5,0.55
naive,1,catboost,-0.05040330939143167,0.19294633502084446,0.20501766784452347,0.0336984805127797,-9.318716194773433,-0.05040330939143167,10.499999999999998,0.05249999999999999,0.02333333333333333,15.0,2.0,0.55
naive,2,trend,0.054930426874193916,0.4320599426851741,0.43921177643539866,0.13510176862268614,2.4754855182876745,-0.05399131002562252,2.0999999999999996,0.0052499999999999995,0.16138888888888892,3.0,1.0,
naive,2,trend,0.05216293103098146,0.42849070591109584,0.43921177643539866,0.1352016941627132,2.355545347954245,-0.055647707418821524,2.0999999999999996,0.007875,0.16138888888888892,3.0,1.5,
naive,2,trend,0.0494014880191227,0.42492592253771044,0.43921177643539866,0.13535231103532613,2.234945006898032,-0.0573019286806139,2.0999999999999996,0.010499999999999999,0.16138888888888892,3.0,2.0,
naive,2,prior,0.14090223854827455,0.4320599426851741,0.43921177643539866,0.20054551584093241,4.099385875799123,-0.049795056841904106,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
naive,2,prior,0.13990502111653913,0.42849070591109584,0.43921177643539866,0.20053845625086295,4.0729870654072435,-0.049795056841903884,0.7,0.0026249999999999997,0.35000000000000003,1.0,1.5,0.5
naive,2,prior,0.1389082396883179,0.42492592253771044,0.43921177643539866,0.20054294458755423,4.046353380462903,-0.04979505684190322,0.7,0.0034999999999999996,0.35000000000000003,1.0,2.0,0.5
naive,2,ridge_logistic,0.0020405201236548542,0.4320599426851741,0.43921177643539866,0.18322278725958016,0.15908571466688234,-0.09459505319030215,36.4,0.091,0.24500000000000005,52.0,1.0,0.5
naive,2,ridge_logistic,-0.04259310074582601,0.42849070591109584,0.43921177643539866,0.18528543346473247,-1.3365515787259923,-0.12808318794810358,36.4,0.13649999999999998,0.24500000000000005,52.0,1.5,0.5
naive,2,ridge_logistic,-0.0852568879750355,0.42492592253771044,0.43921177643539866,0.1877845037887423,-2.792750172127487,-0.16288210198758513,36.4,0.182,0.24500000000000005,52.0,2.0,0.5
naive,2,lightgbm,0.0,0.4320599426851741,0.43921177643539866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
naive,2,lightgbm,0.0,0.42849070591109584,0.43921177643539866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6
naive,2,lightgbm,0.0,0.42492592253771044,0.43921177643539866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6
naive,2,catboost,-0.08120896143480649,0.4320599426851741,0.43921177643539866,0.13781813575118593,-3.6691662903089846,-0.0968589279599057,41.3,0.10324999999999998,0.11569444444444442,59.0,1.0,0.5
naive,2,catboost,-0.12747713653673243,0.42849070591109584,0.43921177643539866,0.13907065142974825,-5.894340270915463,-0.1337959478859866,41.3,0.15487499999999998,0.11569444444444442,59.0,1.5,0.5
naive,2,catboost,-0.17143410933795267,0.42492592253771044,0.43921177643539866,0.14096871045356002,-8.042790637087176,-0.17635523985132684,41.3,0.20649999999999996,0.11569444444444442,59.0,2.0,0.5
naive,3,trend,-0.0153270104687806,-0.11991136821814041,-0.1154849225753869,0.10567858201566041,-0.8363019638733967,-0.030417354007000297,1.4,0.0034999999999999996,0.07583333333333334,2.0,1.0,
naive,3,trend,-0.017052222324053568,-0.12212042722522043,-0.1154849225753869,0.10588077359735903,-0.9352504297801606,-0.03084191790803703,1.4,0.0052499999999999995,0.07583333333333334,2.0,1.5,
naive,3,trend,-0.01877516617410324,-0.12432671035610499,-0.1154849225753869,0.10612598805815192,-1.033402603381416,-0.031266481809071545,1.4,0.006999999999999999,0.07583333333333334,2.0,2.0,
naive,3,prior,-0.03754066677043466,-0.11991136821814041,-0.1154849225753869,0.20953184899432303,-1.0061816803720756,-0.10060223462646267,0.7030678874577291,0.0017576697186443228,0.3495106001667053,1.0,1.0,0.5
