model,benchmark_model,observations,total_return,annualized_sharpe,probabilistic_sharpe_ratio,deflated_sharpe_ratio,deflated_benchmark_annualized_sharpe,skewness,pearson_kurtosis,mean_return_difference,bootstrap_pvalue,bootstrap_ci_low,bootstrap_ci_high,positive_fold_ratio,top_fold_profit_share,top_three_fold_profit_share,positive_profit_hhi,mean_net_return_at_2x_cost,passed_rules,rule_count,eligible_for_human_freeze_review,failed_rules
prior,trend,4320,0.05131694524474728,0.29396510401497283,0.6604304326638365,6.649843346528961e-07,3.730269698771105,0.6634585300387982,25.00073177576503,1.2475203610653908e-05,0.3307338532293541,-4.816798406974096e-05,7.375553224734475e-05,0.16666666666666666,0.7544959041910373,1.0,0.6295363305000272,0.004627222396173043,4,10,False,"bootstrap_significance,dsr,positive_fold_ratio,psr,top_fold_concentration,top_three_fold_concentration"
ridge_logistic,trend,4320,-0.17877880016461611,-0.8161760149104389,0.12680542238094494,1.0132311656363413e-10,3.730269698771105,0.37249943228861193,20.798926697101763,-4.4235430647233734e-05,0.879624075184963,-0.00011563877170341851,2.6853684118720713e-05,0.25,0.8112316047466335,1.0,0.680687875327091,-0.031836200549479124,1,10,False,"bootstrap_significance,dsr,mean_improvement,positive_fold_ratio,positive_total_return,positive_two_x_cost_return,psr,top_fold_concentration,top_three_fold_concentration"
catboost,trend,4320,-0.3823878142854782,-2.2459841494290136,0.0009268336645593678,5.551115123125783e-17,3.730269698771105,0.2525838515976494,26.42381179138778,-0.00011059262831841194,0.9988002399520096,-0.00018262066147062384,-3.737986405851605e-05,0.08333333333333333,1.0,1.0,1.0,-0.08237855898701588,1,10,False,"bootstrap_significance,dsr,mean_improvement,positive_fold_ratio,positive_total_return,positive_two_x_cost_return,psr,top_fold_concentration,top_three_fold_concentration"
lightgbm,trend,4320,-0.3958962882662098,-3.455522894453251,3.7267067204416193e-07,0.0,3.730269698771105,-0.9437479332559117,23.8048531000147,-0.00011706439919045022,0.9996000799840032,-0.00018074863120433982,-5.315856028061168e-05,0.0,1.0,1.0,1.0,-0.06388613856112625,1,10,False,"bootstrap_significance,dsr,mean_improvement,positive_fold_ratio,positive_total_return,positive_two_x_cost_return,psr,top_fold_concentration,top_three_fold_concentration"
